country,mw,nodes,layer,mechanism,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p50_slowdown,p95_slowdown,p99_slowdown,avg_pue,jain_fairness,cfe_lift_pp_vs_none,cfe_abs_lift_pp_vs_none,ci_weighted_lift_g,co2_avoided_tonnes_y,delta_facility_pp
SE,10.0000,6667,fsla,none,20260521,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,2.0069,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,fsla,M0,20260521,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.7403,0.3530,0.0000,-0.0072,0.0092,-0.4251
SE,10.0000,6667,fsla,M1,20260521,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.7403,0.3530,0.0000,-0.0072,0.0092,-0.4251
SE,10.0000,6667,fsla,M2,20260521,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.7403,0.3530,0.0000,-0.0072,0.0092,-0.4251
SE,10.0000,6667,fsla,M3,20260521,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.7403,0.3530,0.0000,-0.0072,0.0092,-0.4251
SE,10.0000,6667,pue,none,20260521,1994,115401.0000,1287740.1141,2756124.8903,15.6675,43.2457,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.7399,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,pue,GridPilot-PUE,20260521,1994,60331.3467,667571.8703,1435578.9444,8.1221,45.3690,100.0000,11.3293,13.7547,149.7963,411.2177,2.0441,0.7560,2.1233,0.0000,0.0010,7.5454,47.9131
SE,10.0000,6667,fsla,none,20260522,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,2.0069,0.8981,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,fsla,M0,20260522,1994,60331.3467,667712.1265,1427402.1219,8.1238,45.3164,100.0000,11.3232,14.1227,152.4839,411.2177,2.0011,0.8630,0.8688,0.0000,-0.0000,0.0259,-0.1919
SE,10.0000,6667,fsla,M1,20260522,1994,60331.3467,667712.1265,1427402.1219,8.1238,45.3164,100.0000,11.3232,14.1227,152.4839,411.2177,2.0011,0.8630,0.8688,0.0000,-0.0000,0.0259,-0.1919
SE,10.0000,6667,fsla,M2,20260522,1994,60331.3467,667712.1265,1427402.1219,8.1238,45.3164,100.0000,11.3232,14.1227,152.4839,411.2177,2.0011,0.8630,0.8688,0.0000,-0.0000,0.0259,-0.1919
SE,10.0000,6667,fsla,M3,20260522,1994,60331.3467,667712.1265,1427402.1219,8.1238,45.3164,100.0000,11.3232,14.1227,152.4839,411.2177,2.0011,0.8630,0.8688,0.0000,-0.0000,0.0259,-0.1919
SE,10.0000,6667,pue,none,20260522,1994,115401.0000,1287740.1141,2756124.8903,15.6675,43.2457,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.8626,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,pue,GridPilot-PUE,20260522,1994,60331.3467,668961.9522,1425385.6893,8.1390,44.8471,100.0000,11.3322,13.7547,151.9516,411.2177,1.9962,0.8844,1.6014,0.0000,-0.0018,7.5285,48.2830
SE,10.0000,6667,fsla,none,20260523,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,2.0069,0.8985,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,fsla,M0,20260523,1994,60331.3467,667723.3897,1446765.4613,8.1240,45.3122,100.0000,11.3261,14.1547,152.9736,411.2177,2.0868,0.9118,0.8646,0.0000,-0.0029,0.0258,-1.5511
SE,10.0000,6667,fsla,M1,20260523,1994,60331.3467,667723.3897,1446765.4613,8.1240,45.3122,100.0000,11.3261,14.1547,152.9736,411.2177,2.0868,0.9118,0.8646,0.0000,-0.0029,0.0258,-1.5511
SE,10.0000,6667,fsla,M2,20260523,1994,60331.3467,667723.3897,1446765.4613,8.1240,45.3122,100.0000,11.3261,14.1547,152.9736,411.2177,2.0868,0.9118,0.8646,0.0000,-0.0029,0.0258,-1.5511
SE,10.0000,6667,fsla,M3,20260523,1994,60331.3467,667723.3897,1446765.4613,8.1240,45.3122,100.0000,11.3261,14.1547,152.9736,411.2177,2.0868,0.9118,0.8646,0.0000,-0.0029,0.0258,-1.5511
SE,10.0000,6667,pue,none,20260523,1994,115401.0000,1287740.1141,2756124.8903,15.6675,43.2457,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.9322,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,pue,GridPilot-PUE,20260523,1994,60331.3467,668839.1254,1421499.2851,8.1375,44.8932,100.0000,11.3360,13.4827,149.0162,377.5530,2.0409,0.9031,1.6475,0.0000,-0.0057,7.5300,48.4240
SE,10.0000,6667,fsla,none,20260524,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,2.0069,0.7087,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,fsla,M0,20260524,1994,60331.3467,669153.8311,1432783.4409,8.1414,44.7751,100.0000,11.3349,14.1739,157.5217,411.2177,2.0301,0.7331,0.3275,0.0000,-0.0117,0.0084,-0.5696
SE,10.0000,6667,fsla,M1,20260524,1994,60331.3467,669153.8311,1432783.4409,8.1414,44.7751,100.0000,11.3349,14.1739,157.5217,411.2177,2.0301,0.7331,0.3275,0.0000,-0.0117,0.0084,-0.5696
SE,10.0000,6667,fsla,M2,20260524,1994,60331.3467,669153.8311,1432783.4409,8.1414,44.7751,100.0000,11.3349,14.1739,157.5217,411.2177,2.0301,0.7331,0.3275,0.0000,-0.0117,0.0084,-0.5696
SE,10.0000,6667,fsla,M3,20260524,1994,60331.3467,669153.8311,1432783.4409,8.1414,44.7751,100.0000,11.3349,14.1739,157.5217,411.2177,2.0301,0.7331,0.3275,0.0000,-0.0117,0.0084,-0.5696
SE,10.0000,6667,pue,none,20260524,1994,115401.0000,1287740.1141,2756124.8903,15.6675,43.2457,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.7360,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,pue,GridPilot-PUE,20260524,1994,60331.3467,668991.9147,1421221.7605,8.1394,44.8359,100.0000,11.3365,13.5647,149.7963,411.2177,1.9824,0.7543,1.5902,0.0000,-0.0061,7.5281,48.4341
